hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,address,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,description,check_in_time,check_out_time,room_types,data_source,data_quality_score
Nash Inn Electronic City,3.1,Good,321.0,,Electronic City,,,,979.0,268.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Radisson Blu Bengaluru Outer Ring Road,4.2,Very Good,1159.0,5.0,Outer Ring Road,,,,8000.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"Ginger Bangalore, Whitefield",3.7,Very Good,1198.0,3.0,Brookefield,,,,1884.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Hotel Royal Orchid Bangalore,3.9,Very Good,2185.0,5.0,Domlur Layout,,,,7268.0,872.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"The Hosteller Bangalore, Koramangala",4.3,Excellent,13.0,,Koramangala,,,,1295.0,294.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Silicon City Hotel,3.4,Good,695.0,4.0,Hosur road,,,,1586.0,418.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Country Inn And Suites By Radisson Bengaluru Hebbal,3.8,Very Good,1928.0,4.0,Hebbal,,,,3500.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Octave Himalaya Monarch,4.0,Very Good,2624.0,3.0,Gandhi Nagar,,,,1645.0,333.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Greenpark Bengaluru,4.7,Excellent,62.0,4.0,Bannerghatta Main road,,,,6345.0,1350.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
ITC Gardenia - A Luxury Collection Hotel,4.5,Excellent,1389.0,5.0,Ashok Nagar ,MG Road,2.1 km ,2.1,11700.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
The Continentti Whitefield,4.0,Very Good,1189.0,3.0,Brookefield,,,,2791.0,564.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
The Monarch Luxur,3.9,Very Good,775.0,4.0,Infantry Road ,MG Road,1.6 km ,1.6,3723.0,752.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Ballal Residency,3.9,Very Good,875.0,3.0,Residency Road ,MG Road,2.3 km ,2.3,3084.0,836.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Hibernest Indiranagar,4.2,Very Good,142.0,,Indiranagar,,,,1005.0,325.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Fortune Park JP Celestial-Member ITC Hotel Group,3.8,Very Good,1876.0,4.0,Gandhi Nagar,,,,5292.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"Click Hotel Bangalore, International Airport",4.2,Very Good,438.0,3.0,Near Bangalore Airport ,Kempegowda Airport ,8.0 km ,8.0,3510.0,421.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Omatra Hotel HSR,3.4,Good,91.0,,Outer Ring Road,,,,2194.0,539.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Svenska Design Hotel,3.3,Good,627.0,,Electronic City,,,,1999.0,642.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Peninsula Suites,3.9,Very Good,1341.0,4.0,Whitefield,,,,2264.0,306.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Iris Hotel & Spa Bangalore,4.1,Very Good,1016.0,4.0,Residency Road ,MG Road,2.1 km ,2.1,5330.0,1247.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
SM Royal Stay Hotel near Intl Airport Bangalore,4.2,Very Good,47.0,3.0,Near Bangalore Airport ,Kempegowda Airport ,5.0 km ,5.0,1692.0,360.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"Halcyon Residences
Like a 3",3.8,Very Good,613.0,,Koramangala,,,,2759.0,755.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Shangri-La Bengaluru,4.5,Excellent,584.0,5.0,Palace road ,Bangalore Palace,1.9 km ,1.9,13500.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
The Leela Bhartiya City Bengaluru,4.6,Excellent,213.0,5.0,Tirumanahalli,,,,11000.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"Holiday Inn Express & Suites, OMR Bengaluru",4.1,Very Good,526.0,4.0,Whitefield,,,,3999.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Fairfield By Marriott Bengaluru Rajajinagar,3.9,Very Good,883.0,4.0,Rajajinagar,,,,5400.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
The Zuri Whitefield,4.3,Excellent,662.0,5.0,Whitefield,,,,6501.0,780.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
MAYBAACH HOTELS,4.1,Very Good,79.0,3.0,Marathahalli,,,,2820.0,660.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Regenta Place Bangalore by Royal Orchid Hotels Limited,3.5,Very Good,923.0,4.0,Shivaji Nagar ,MG Road,2.2 km ,2.2,2848.0,342.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Icon Business Hotel by Bhagini,3.6,Very Good,1024.0,3.0,HAL old airport road,,,,2300.0,465.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Sterlings Mac Hotel & Suites,4.1,Very Good,732.0,5.0,HAL old airport road,,,,6768.0,1368.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Nexstay Kites Inn,4.3,Excellent,36.0,3.0,Hosur road,,,,2799.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
The Leela Palace Bengaluru,4.5,Excellent,1048.0,5.0,HAL old airport road,,,,16500.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
