hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state
"Taj Fisherman's Cove Resort & Spa, Chennai",4.3,Excellent,1856,5,Covelong ,city centre,36.3 km ,36.3,12555,2260,Chennai,Tamil Nadu
Hotel Savera,4,Very Good,7458,4,Mylapore,,,,4612,1091,Chennai,Tamil Nadu
Ibis Chennai OMR - An Accor Brand,4.1,Very Good,2545,4,Sholinganallur,,,,3345,,Chennai,Tamil Nadu
"Taj Coromandel, Chennai",4.5,Excellent,784,5,Near US Consulate,,,,11200,,Chennai,Tamil Nadu
Courtyard by Marriott Chennai,4.2,Very Good,1208,4,Mount road,,,,7500,,Chennai,Tamil Nadu
Radisson Blu Hotel Chennai City Centre,4.3,Excellent,3991,5,Egmore,,,,9443,,Chennai,Tamil Nadu
FIRST INN HOTELS,3.8,Very Good,214,,Perungudi,,,,2907,594,Chennai,Tamil Nadu
Ibis Chennai City Centre - An Accor Brand,3.9,Very Good,2213,3,Mount road ,Thousand Lights Mosque,540 m ,0.54,5299,,Chennai,Tamil Nadu
Rohaan Inns - UPAR Ashok Nagar,4.1,Very Good,179,,Ashok Nagar ,Chennai Airport,9.4 km ,9.4,1771,495,Chennai,Tamil Nadu
"Vivanta Chennai, IT Expressway",4.4,Excellent,1601,5,Sholinganallur,,,,7360,,Chennai,Tamil Nadu
"Taj Connemara, Chennai",4.5,Excellent,1215,5,Chennai,,,,7600,1368,Chennai,Tamil Nadu
Four Points by Sheraton Chennai OMR,4.1,Very Good,2314,4,Sholinganallur,,,,5859,1197,Chennai,Tamil Nadu
Ramada Plaza by Wyndham,4.5,Excellent,3185,5,Saidapet ,Chennai Airport,7.6 km ,7.6,7533,2554,Chennai,Tamil Nadu
Citadines OMRChennai,4.4,Excellent,1714,5,Sholinganallur,,,,11340,,Chennai,Tamil Nadu
The Leela Palace Chennai,4.5,Excellent,1261,5,Raja Annamalai Puram,,,,10800,,Chennai,Tamil Nadu
"The Raintree, Annasalai",4.4,Excellent,2376,5,Mount road,,,,7299,,Chennai,Tamil Nadu
Hablis,4.2,Very Good,4529,4,Mount road ,Chennai Airport,5.9 km ,5.9,5271,1124,Chennai,Tamil Nadu
Novotel Chennai Chamiers Road,4.3,Excellent,1002,5,Nandanam,,,,7391,,Chennai,Tamil Nadu
The Residency,4.2,Very Good,1714,4,T Nagar,,,,5336,1455,Chennai,Tamil Nadu
The Residency Towers,4.3,Excellent,1151,5,T Nagar,,,,6696,1826,Chennai,Tamil Nadu
Novotel Chennai OMR - An Accor Brand,4.3,Excellent,1001,5,Sholinganallur,,,,6134,,Chennai,Tamil Nadu
Hotel Southern Comfort ( Chennai Airport ),3.6,Very Good,2962,3,Chennai Airport ,Chennai Airport,1.3 km ,1.3,2870,757,Chennai,Tamil Nadu
Lemon Tree Hotel Chennai,3.6,Very Good,3059,4,Saidapet ,Chennai Airport,7.8 km ,7.8,2487,903,Chennai,Tamil Nadu
The Pride Hotel Chennai,3.6,Very Good,1911,4,Kilpauk,,,,3399,408,Chennai,Tamil Nadu
"Ginger Chennai, Vadapalani",3.5,Very Good,2282,3,Vadapalani,,,,2699,,Chennai,Tamil Nadu
UPAR Nungambakkam,4.1,Very Good,281,,Nungambakkam,,,,2716,633,Chennai,Tamil Nadu
Ginger Chennai,3.5,Very Good,2071,3,Tharamani,,,,3299,,Chennai,Tamil Nadu
Holiday Inn Express Chennai OMR Thoraipakkam,3.5,Very Good,2087,4,Thoraipakkam,,,,3680,480,Chennai,Tamil Nadu
Raj Park Chennai,3.6,Very Good,1158,4,Teynampet,,,,3953,935,Chennai,Tamil Nadu
"UPAR Uthandi, ECR
Like a 3",3.6,Very Good,94,,East Coast Road (ECR),,,,1317,397,Chennai,Tamil Nadu
Hotel Abu Palace,3.4,Good,1592,4,Purasawalkam ,Chennai Egmore Railway Station,920 m ,0.92,2947,789,Chennai,Tamil Nadu
Ramada Chennai Egmore,3.9,Very Good,4600,4,Egmore,,,,4557,1078,Chennai,Tamil Nadu
Hyatt Regency Chennai,4.1,Very Good,1152,5,Teynampet,,,,7499,,Chennai,Tamil Nadu
"Lemon Tree Hotel, Shimona, Chennai",4,Very Good,1288,4,Manapakkam ,Chennai Airport,9.0 km ,9,2819,1115,Chennai,Tamil Nadu
Trident Chennai,4.5,Excellent,1140,5,Chennai Airport ,Chennai Airport,3.0 km ,3,12750,,Chennai,Tamil Nadu
Holiday Inn Chennai OMR IT Expressway,4.2,Very Good,1676,5,Thiruvanmiyur,,,,7499,,Chennai,Tamil Nadu
Ibis Chennai SIPCOT - An Accor Brand,4,Very Good,1479,3,Egatoor ,city centre,31.2 km ,31.2,3299,,Chennai,Tamil Nadu
The Accord Metropolitan,4.1,Very Good,2220,5,T Nagar,,,,6500,1957,Chennai,Tamil Nadu
Park Hyatt Chennai,4.5,Excellent,525,5,Guindy ,Chennai Airport,7.8 km ,7.8,9000,,Chennai,Tamil Nadu
OYO Home Fantasea Uthandi Near Juhu Beach,1.9,Poor,7,,Uthandi,,,,769,40,Chennai,Tamil Nadu
Gokulam Park Sabari - Siruseri SIPCOT,4.2,Very Good,1271,4,Navallur,,,,5719,1244,Chennai,Tamil Nadu
