hotel_id,hotel_name
1814,"New Delhi YMCA Tourist Hostel | Rooms & Wi-Fi
Like a 3"
545,Golden Keys Inn
585,Ginger East Delhi
2400,The Hans
239,"Shubham Vilas
Like a 3"
4382,Ramada By Wyndham New Delhi Pitampura
1043,Svelte Hotel & Personal Suites
2211,The Grand Uddhav
2334,Hotel Chanakya Inn
556,Hotel Viva Palace @ Delhi Airport
595,Hotel Hari Piorko
3023,Hotel Southern
3062,Hotel Delhi 37
1724,Red Fox Hotel East Delhi
3777,HOME@B11
3722,The Umrao
3782,IIDL Suites
3177,Four Points by Sheraton Delhi
3947,"Deventure Sarovar Portico, Kapashera, New Delhi"
110,"The Dream House BnB | Rooms & Caretaker
Like a 3"
2424,"Park Inn by Radisson, IP Extension- New Delhi"
1025,The Claridges New Delhi
1540,De Pavilion Hotel
3652,Venizia Sarovar Portico
2312,Centaur Hotel
52,The Orion Plaza - Nehru Place
479,Dee Marks Hotel & Resort Delhi Airport
2304,HOTEL LE SEASONS
4307,Caspia Hotel New Delhi Shalimar Bagh
2016,"Park Inn by Radisson, Lajpat Nagar"
234,Jukaso Inn Down Town
1870,Hotel LA New Delhi
692,Kelvish Hotel Near Delhi Airport
2410,Radisson Hyderabad Hitec City
894,The Park Hyderabad
1847,ITC Kohenur - A Luxury Collection Hotel
291,Fairfield by Marriott Hyderabad Gachibowli
444,Radisson Blu Plaza Hotel
795,Lemon Tree Hotel Gachibowli
2516,Red Fox Hotel Hyderabad
1452,"Lemon Tree Hotel, Banjara Hills, Hyderabad"
372,"Taj Krishna, Hyderabad"
1919,Novotel Hyderabad Airport
2703,Rester Select Kukatpally
133,The Golkonda Hotel
4293,Trident Hyderabad
804,Ellaa Hotel Gachibowli
121,Lemon Tree Premier HITEC City Hyderabad
2310,"Siri Inn Hospitality | Rooms in an Apartment
Like a 3"
2644,ibis Hyderabad HITEC City - An Accor Brand
2935,Hyatt Place Hyderabad Banjara Hills
3022,"Vivanta Hyderabad, Begumpet"
3858,Zen Comfort
3241,Hyderabad Marriott Hotel and Convention Centre
2074,HOTEL SIGNATURE AIRPORT ZONE SHAMSHABAD
2020,Daspalla Hotel
135,Hotel OAK by Signature
2081,Aditya Park Hyderabad - A Sarovar Hotel
1565,"Park Hyatt Hotel and Residences, Hyderabad"
860,Marigold By Green Park
2584,Hotel Hyderabad Grand
2653,Green Park
2707,The Central Court
1048,Holiday Inn Express Hyderabad HITEC City
568,Slackpackr Hostel
1265,Holiday Inn Express Hyderabad Banjara Hills
18,CITADEL Hotel By Vinnca
2313,Aditya Hometel Hyderabad - A Sarovar Hotel
3189,Hotel Deccan Serai Grande
355,Katriya Hotel and Towers
1376,Hotel Saptagiri Hyderabad
1972,Hampshire Plaza Hotel
2196,"Taj Deccan, Hyderabad"
3175,Avasa Hotel
799,Hotel Akoya - HITECH City Hyderabad
3312,MARIGOLD AT NEST
123,HOTEL RAINTR33
1413,Urban Nest Luxury Rooms
2168,Novotel Hyderabad Convention Centre
4313,Hotel B Plus L
2656,La Hometel Hotel - HITECH City Hyderabad
3878,Le Meridien Hyderabad
669,"Restel Studio Flats
Like a 3"
870,The Conclave
3207,The Landmark Banjara Hills
3389,THE CENT
1737,Courtyard by Marriott Hyderabad
3108,"The Wilderness Retreat | Rooms & Restaurant
Like a 4"
4191,The Altruist Business Hotel (Hitech)
4322,Istay Hotels Hitec
3894,Hyatt Hyderabad Gachibowli
3076,The Art Boutique Hotel
4500,Hotel Imperial Classic
4589,Mercure Hyderabad KCP - An AccorHotels brand
4145,Veeraj Suites
3615,Bloom Hotel - Gachibowli
3261,Oakwood Residence Kapil Hyderabad
1159,Aalankrita Resort & Convention
1176,Minerva Grand- Kondapur
2495,M SQUARE HOTEL
2788,Sri Sri Suites
319,The Manohar
2909,The Lime Boutique Suites
275,Taj Tristar
2611,Minerva Grand - Banjara
3677,Sheraton Hyderabad
2687,ITC Kakatiya - A Luxury Collection Hotel
2464,Bikanervala Boutique Hotel
2530,The Park Kolkata
94,"Zone By The Park, Kolkata"
534,JW Marriott Hotel Kolkata
3152,ibis Kolkata Rajarhat - An Accor Brand
643,The Lalit Great Eastern Kolkata
2523,ITC Royal Bengal - A Luxury Collection Hotel
1920,"Lemon Tree Premier, New Town, Kolkata"
3911,Novotel Kolkata Hotel and Residences
3239,All Fresco Hotel
4472,Regenta Orko's Kolkata
1733,"Holiday Inn Express, Kolkata Airport"
2122,Himalayan Inn Guest House - Near TCS Gitobitan
299,Holiday Inn Kolkata Airport
1341,"Taj City Centre New Town, Kolkata"
2214,"Vivanta Kolkata, EM Bypass"
4626,Hyatt Regency Kolkata
3590,"Bandhan Residency
Like a 3"
2160,The Oberoi Grand
3164,"Fairfield by Marriott, Kolkata"
3847,Ethnotel
1947,Backpackers Park Hostel @ParkStreet
2226,THE WESTIN KOLKATA RAJARHAT
3552,"Taj Bengal, Kolkata"
834,Hotel Senses
3472,ITC Sonar - A Luxury Collection Hotel
3651,Kenilworth Hotel
3139,The Peerless Inn
377,De Sovrani
1612,"Pride Plaza Hotel, Kolkata"
1523,"City Central Hostel, Kolkata"
3133,Siamton Inn - A Cygnett Collection
2111,Hotel Aauris
2248,"Howard Johnson by Wyndham, Kolkata Airport"
2764,Park Prime Kolkata
2802,Joey's Nest
2355,Hotel Hindusthan International
2828,Hotel Niharika
2060,Vedic Village Spa Resort
1438,Park Palace Hotel
722,Offbeat CCU Bunkers
2719,Monotel Luxury Business Hotel
3122,AIRPORT CITY HOTEL
1599,The Lindsay
3094,RituIvy
1739,Hotel O2 Oxygen
2771,VISITEL - A BOUTIQUE HOTEL
3945,IndiSmart Hotel
178,LYNQ AERO
2489,"Park Guest House, Kolkata"
1331,Regenta Inn Larica
2179,Golden Tulip Kolkata
3219,The Senator
145,Gallery 67
4571,CHOWDHURY'S ESTATES
176,Pipal Tree Hotel
622,Stayotel
288,"Raajkutir, Kolkata - IHCL SeleQtions"
416,The Sonnet
2496,"Krishna Kunja | Rooms & Caretaker
Like a 3"
46,Aristocrat Hotel
2385,The Fern Residency Kolkata
3739,Sapphire Suites
3850,Victoria Hotel
2030,The Pearl Hotel
4066,The Astor
