hotel_name,hotel_id,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,price_range,latitude,longitude,hotel_type,room_types,data_quality_score,star_rating_clean,has_coordinates,amenity_free_wifi,amenity_air_conditioning,amenity_24_7_front_desk,amenity_spa,amenity_pool,amenity_gym,amenity_restaurant,amenity_room_service,amenity_business_center,amenity_meeting_rooms,amenity_bar,amenity_swimming_pool,amenity_parking,amenity_travel_desk,amenity_airport_shuttle,amenity_conference_hall,amenity_valet_parking,total_amenities_count
Holiday Inn Express Bengaluru Whitefield ITPL,2043,3.5,Very Good,1242.0,3.0,Whitefield,Unknown,-1.0,3399.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hosteller Bangalore Brigade Road,469,3.8,Unknown,299.0,-1.0,Ashok Nagar ,MG Road,2.2,1330.0,315.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ginger Bangalore (IRR),3937,3.6,Very Good,1639.0,3.0,Domlur Layout,Unknown,-1.0,1689.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gokulam Grand Hotel & Spa,158,4.1,Very Good,1537.0,5.0,Mathikere,Unknown,-1.0,6409.0,1295.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloom Hotel - Airport Road Bengaluru,27,4.4,Excellent,191.0,3.0,Near Bangalore Airport ,Kempegowda Airport ,7.7,4000.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotel Ramanashree Richmond Circle,1030,3.8,Very Good,686.0,3.0,Sampangi Rama Nagar ,Cubbon Park,2.1,2792.0,564.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRS Suites
Like a 3",4629,4.4,Excellent,20.0,-1.0,Koramangala,Unknown,-1.0,3178.0,806.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP CORDIAL,253,3.7,Very Good,1750.0,3.0,Majestic,Unknown,-1.0,2726.0,638.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taj Bangalore,4281,4.6,Excellent,1172.0,5.0,Near Bangalore Airport ,Kempegowda Airport ,0.9,11750.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radisson Bengaluru City Center,1607,4.5,Excellent,1283.0,4.0,Ulsoor,Unknown,-1.0,7500.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pride Hotel Bangalore,634,3.8,Very Good,1526.0,4.0,Richmond road ,Cubbon Park,2.6,4599.0,552.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BloomSuites | Electronic City,2192,4.1,Very Good,643.0,4.0,Electronic City,Unknown,-1.0,5000.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Star Bangalore,1748,3.9,Very Good,1320.0,4.0,Ashok Nagar ,MG Road,0.91,3082.0,872.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Orchid Central Bangalore,678,3.7,Very Good,3836.0,4.0,Ulsoor ,MG Road,2.3,5823.0,699.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shivas Galaxy Hotel,803,4.1,Very Good,963.0,4.0,Near Bangalore Airport ,Kempegowda Airport ,8.2,2900.0,604.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Bouvice
Like a 3",4002,4.2,Very Good,151.0,-1.0,Koramangala,Unknown,-1.0,2279.0,624.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JW Marriott Bengaluru Prestige Golfshire Resort and Spa,316,4.7,Excellent,100.0,5.0,In Devanhalli ,Bangalore city centre,52.0,25000.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Sara Grand (Formerly Known as Nandhana Grand),4421,4.0,Very Good,838.0,3.0,Koramangala,Unknown,-1.0,2939.0,752.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zone By The Park Infantry,3110,3.9,Very Good,762.0,5.0,Infantry Road ,MG Road,1.9,4252.0,1021.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Chancery,2859,3.9,Very Good,2155.0,4.0,Ashok Nagar ,MG Road,0.98,4230.0,990.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nash Inn Electronic City,1296,3.1,Good,321.0,-1.0,Electronic City,Unknown,-1.0,979.0,268.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radisson Blu Bengaluru Outer Ring Road,1221,4.2,Very Good,1159.0,5.0,Outer Ring Road,Unknown,-1.0,8000.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ginger Bangalore, Whitefield",2511,3.7,Very Good,1198.0,3.0,Brookefield,Unknown,-1.0,1884.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotel Royal Orchid Bangalore,3694,3.9,Very Good,2185.0,5.0,Domlur Layout,Unknown,-1.0,7268.0,872.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Hosteller Bangalore, Koramangala",1075,4.3,Excellent,13.0,-1.0,Koramangala,Unknown,-1.0,1295.0,294.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silicon City Hotel,1184,3.4,Good,695.0,4.0,Hosur road,Unknown,-1.0,1586.0,418.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Country Inn And Suites By Radisson Bengaluru Hebbal,3823,3.8,Very Good,1928.0,4.0,Hebbal,Unknown,-1.0,3500.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Octave Himalaya Monarch,4371,4.0,Very Good,2624.0,3.0,Gandhi Nagar,Unknown,-1.0,1645.0,333.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenpark Bengaluru,732,4.7,Excellent,62.0,4.0,Bannerghatta Main road,Unknown,-1.0,6345.0,1350.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITC Gardenia - A Luxury Collection Hotel,2463,4.5,Excellent,1389.0,5.0,Ashok Nagar ,MG Road,2.1,11700.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Continentti Whitefield,2621,4.0,Very Good,1189.0,3.0,Brookefield,Unknown,-1.0,2791.0,564.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
